"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"x_rep[37]",-0.0244304794977465,-0.064830906,1.01946869575687,0.9288117223224,-1.61219101,1.74067769,1.00146140051076,3923.25774176974,3889.41846930475
"x_rep[38]",0.0161144399208385,-0.048239577,1.03012555072064,0.908779803708,-1.511187655,1.763027075,1.00144897340627,3763.87192429081,3665.59807645093
"x_rep[39]",-0.0061981562281725,-0.071411843,1.03491655377556,0.9520342539582,-1.615215285,1.769359735,1.00013545136604,3863.4249651835,3998.7857460059
"x_rep[40]",0.01216705829646,-0.0518677475,1.04990599780287,0.943051933719,-1.60438886,1.821054505,1.00056942871947,3868.71051365603,3505.04195375935
"x_rep[41]",-0.0126072631301125,-0.0579250985,1.02351732258993,0.9276579592959,-1.5897063,1.71142401,1.00035244037307,4088.47487080278,3700.35712975824
"x_rep[42]",-0.00312812022487,-0.0407738075,1.01028375539948,0.93784820787,-1.57757903,1.769730925,0.999735709662079,4275.01340748105,4043.33631871787
"x_rep[43]",0.025222935174675,-0.0134377665,1.03342861100314,0.9526730936961,-1.550448225,1.7888945,1.00003159988425,4088.20659226559,4027.76615573753
"x_rep[44]",0.0087255682461925,-0.055597025,1.02386500580077,0.965233794315,-1.50017297,1.82481593,1.00089450616769,3462.11222544434,3894.82362015406
"x_rep[45]",-0.005546826739665,-0.04813278,1.02802077251876,0.954919264572,-1.580945015,1.71174295,0.999840013836634,4028.87193361031,3404.58807692686
"x_rep[46]",-0.00405501462231725,-0.0484927795,1.01320435350551,0.9050320199697,-1.61078599,1.724100015,1.00071852701394,3957.83396420032,3871.85920235055
"x_rep[47]",0.0362099319383134,-0.0109880505,1.03910289113076,0.9457433338227,-1.55176719,1.836213605,0.999739882305939,3833.39837687838,3415.86493367683
"x_rep[48]",0.0107030059456,-0.0217589215,1.03844809123271,0.9514034914251,-1.594772015,1.758857115,1.00017219990803,4011.46757611711,3694.51985028115
"x_rep[49]",0.001095811250545,-0.049611375,1.03436222647027,0.930777006474,-1.584582115,1.77649765,0.999448187555658,3802.19024923734,3784.30831982351
"x_rep[50]",0.0224815076568125,-0.032930418,1.01834134430219,0.9339552086508,-1.549082185,1.759070835,1.00031768446764,4203.89334840835,3971.08843195945
"x_rep[51]",0.01903965545946,-0.046786244,1.04795002917673,0.972982699584,-1.588219655,1.83640171,1.00039344086268,3912.65756723978,4102.62879964473
"x_rep[52]",-0.0129234425681225,-0.0673476695,1.03456954706806,0.9629209687083,-1.60868151,1.73552787,0.999992988758755,3927.09784103933,3833.20792641417
